City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,quiroga,19.6667,-101.5333,22.09,62,2,0.1,MX,1691511631
339,cabedelo,-6.9811,-34.8339,27.37,70,51,5.68,BR,1691511728
340,broome,42.2506,-75.833,19.71,90,72,0.89,US,1691511728
341,katsuren-haebaru,26.3369,127.8719,27.21,100,75,7.72,JP,1691511728
342,port blair,11.6667,92.75,29.02,79,40,5.14,IN,1691511728
343,errachidia,31.9275,-4.4285,41.03,7,40,3.6,MA,1691511728
344,ilha de mocambique,-15.0342,40.7358,24.4,68,16,8.82,MZ,1691511729
345,revda,56.801,59.9303,15.49,95,84,1.71,RU,1691511729
346,mahina,-17.5065,-149.489,22.87,88,40,2.57,PF,1691511729
347,nova olinda do norte,-3.8881,-59.0942,39.55,22,12,2.1,BR,1691511729
348,kolonia town,6.964,158.206,24.0,100,100,0.0,FM,1691511729
349,el granada,37.5027,-122.4694,21.38,83,100,5.14,US,1691511730
350,miyako,39.6367,141.9525,24.46,96,80,3.91,JP,1691511730
351,ardakan,32.31,54.0175,33.72,19,51,2.01,IR,1691511730
352,al hudaydah,14.7978,42.9545,33.38,50,46,6.11,YE,1691511730
353,beyneu,45.3167,55.2,33.2,23,0,2.91,KZ,1691511730
354,ola,59.5833,151.2833,8.57,66,21,4.49,RU,1691511731
355,xianning,29.8833,114.2167,27.19,87,6,1.66,CN,1691511731
356,oodweyne,9.4092,45.064,25.5,47,61,9.72,SO,1691511731
357,arish,31.1316,33.7984,27.53,64,0,4.79,EG,1691511731
358,farsan,32.2569,50.561,24.02,54,83,2.8,IR,1691511731
359,zhezqazghan,47.7833,67.7667,28.78,32,40,3.48,KZ,1691511731
360,orange,33.7,-117.7675,30.17,66,40,1.54,US,1691511732
361,mil'kovo,55.6078,37.7956,24.73,77,96,2.44,RU,1691511732
362,pahrump,36.2083,-115.9839,30.28,16,0,2.24,US,1691511732
363,khon buri,14.5254,102.2459,28.87,100,100,2.62,TH,1691511732
